run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community	community_size	rank_betweenness	rank_outdegree	rank_local_betweenness	rank_local_outdegree
3	362	Ascl2	0.09418282548476455	0.002177593105570945	0.09418282548476455	0.007648507232994767	2	87	59.0	76.0	3.0	14.0
3	362	Hand1	0.08587257617728532	0.0017774699907663898	0.11634349030470914	0.00961064943059403	2	87	42.0	44.0	6.0	21.0
3	362	Elf3	0.07479224376731301	0.0006848261003385657	0.0886426592797784	0.0023930440135426284	2	87	124.0	81.0	33.0	26.0
3	362	Tcf15	0.09695290858725762	0.0029624499846106493	0.12188365650969529	0.00781009541397353	1	123	58.0	40.0	11.0	9.0
3	354	Sox1	0.0764872521246459	0.0016176281225856299	0.07932011331444759	0.00229365181560649	0	149	121.0	79.0	28.0	28.0
3	354	Zic5	0.20113314447592068	0.003533028586144734	0.2322946175637394	0.00977015194437291	0	149	46.0	2.0	13.0	1.0
3	354	Ascl2	0.0821529745042493	0.002044166881277363	0.08498583569405099	0.008313481843935103	2	83	55.0	69.0	3.0	16.0
3	354	Hand1	0.0736543909348442	0.001915400463559104	0.1019830028328612	0.01294907288179243	2	83	33.0	42.0	6.0	24.0
3	354	Elf3	0.0679886685552408	0.0011910893638938966	0.0821529745042493	0.005182848313159929	2	83	75.0	74.0	15.0	27.0
3	354	Tcf15	0.06515580736543909	0.003364022662889519	0.0878186968838527	0.012900785475148082	1	122	34.0	62.0	8.0	16.0
3	344	Sox1	0.04956268221574344	0.0006819770514722179	0.0641399416909621	0.002506265664160401	1	83	120.0	79.0	23.0	17.0
3	344	Zic5	0.1282798833819242	0.0032223415682062296	0.21865889212827988	0.013716263447734984	1	83	25.0	2.0	6.0	2.0
3	344	Ascl2	0.08163265306122448	0.0021482277121374865	0.08454810495626822	0.008737830971987793	2	74	54.0	48.0	3.0	10.0
3	344	Hand1	0.061224489795918366	0.0012190339795065896	0.07580174927113703	0.011619184014457913	2	74	37.0	63.0	11.0	23.0
3	344	Elf3	0.04956268221574344	0.0008013230354798561	0.0641399416909621	0.0076040441239152295	2	74	59.0	79.0	22.0	28.0
3	344	Tcf15	0.052478134110787174	0.0031882427156326187	0.0641399416909621	0.01198574667962423	0	125	34.0	79.0	11.0	18.0
3	334	Sox1	0.04804804804804805	0.000786931509823076	0.05405405405405406	0.003943702738883462	0	121	86.0	78.0	36.0	26.0
3	334	Zic5	0.17717717717717718	0.005924599298093274	0.1921921921921922	0.014562755526610948	0	121	33.0	2.0	2.0	1.0
3	334	Ascl2	0.07807807807807808	0.0017185860559354536	0.08108108108108109	0.00786026990846268	2	75	57.0	45.0	10.0	9.0
3	334	Hand1	0.04804804804804805	0.0006693440428380187	0.05405405405405406	0.0038080248923622415	2	75	89.0	78.0	29.0	27.0
3	334	Elf3	0.04504504504504504	0.0009316545461123774	0.05405405405405406	0.010166793299323419	2	75	48.0	78.0	20.0	30.0
3	334	Tcf15	0.04204204204204204	0.0033105394551177685	0.057057057057057055	0.018624045732479468	1	94	19.0	73.0	5.0	12.0
3	329	Sox1	0.03353658536585366	0.0008391138957261133	0.039634146341463415	0.004904154546132617	0	108	75.0	85.0	27.0	28.0
3	329	Zic5	0.16463414634146342	0.007813082717983144	0.1798780487804878	0.016968747669128068	0	108	28.0	2.0	1.0	1.0
3	329	Ascl2	0.07621951219512195	0.0029368986350413965	0.07926829268292683	0.01267061982546431	2	78	43.0	29.0	3.0	7.0
3	329	Hand1	0.042682926829268296	0.0006246736779294399	0.04878048780487805	0.019430148429924667	2	78	23.0	73.0	28.0	29.0
3	329	Elf3	0.04573170731707317	0.00251734168717834	0.04878048780487805	0.009258223316178116	2	78	51.0	73.0	8.0	26.0
3	329	Tcf15	0.03353658536585366	0.0038785708958007014	0.04878048780487805	0.029555456105019768	1	91	5.0	73.0	5.0	15.0
3	319	Sox1	0.02830188679245283	0.0008630438664365216	0.02830188679245283	0.0022716901771719935	0	107	113.0	94.0	25.0	28.0
3	319	Zic5	0.1320754716981132	0.008392357597762037	0.14779874213836477	0.023083943416066503	0	107	19.0	3.0	1.0	2.0
3	319	Ascl2	0.07547169811320756	0.002499851199333373	0.07861635220125787	0.011636212130230344	2	75	40.0	22.0	7.0	3.0
3	319	Hand1	0.03773584905660378	0.0015574469773624586	0.04402515723270441	0.03329166914667778	2	75	6.0	62.0	16.0	29.0
3	319	Elf3	0.04088050314465409	0.0010614447552725035	0.04402515723270441	0.003700176576791064	2	75	95.0	62.0	25.0	25.0
3	319	Tcf15	0.025157232704402517	0.003392655199095292	0.03459119496855346	0.02135785568319346	1	86	20.0	80.0	6.0	17.0
3	304	Sox1	0.019801980198019802	0.00028413437370227086	0.023102310231023104	0.0018359451839223657	2	76	115.0	92.0	29.0	24.0
3	304	Zic5	0.07920792079207921	0.00479749961751142	0.1353135313531353	0.03176840862894236	2	76	11.0	2.0	4.0	4.0
3	304	Ascl2	0.07260726072607261	0.002535352873035648	0.07590759075907591	0.026337070793172032	1	77	19.0	14.0	7.0	1.0
3	304	Hand1	0.033003300330033	0.002885056717592289	0.036303630363036306	0.014993552335365985	1	77	37.0	65.0	3.0	26.0
3	304	Elf3	0.039603960396039604	0.0019124428999191308	0.0429042904290429	0.012436342972045548	1	77	47.0	53.0	14.0	22.0
3	304	Tcf15	0.019801980198019802	0.0022949314799029573	0.0297029702970297	0.016774856293576376	0	82	34.0	80.0	14.0	18.0
3	291	Sox1	0.013793103448275862	2.3863500775563776e-05	0.020689655172413793	0.0008829495286958597	3	50	134.0	87.0	25.0	20.0
3	291	Zic5	0.06206896551724138	0.003997136379906932	0.13448275862068965	0.04234578212623792	3	50	8.0	2.0	2.0	3.0
3	291	Ascl2	0.05862068965517241	0.0026249850853120155	0.05862068965517241	0.009557332060613292	0	71	64.0	22.0	7.0	5.0
3	291	Hand1	0.03103448275862069	0.0032692996062522375	0.034482758620689655	0.02679871137095812	0	71	21.0	59.0	4.0	25.0
3	291	Elf3	0.03793103448275862	0.0025056675814341964	0.041379310344827586	0.024937358310464147	0	71	22.0	44.0	9.0	20.0
3	291	Tcf15	0.013793103448275862	0.0008113590263691683	0.027586206896551724	0.012611860159885456	2	59	48.0	70.0	14.0	12.0
3	274	Sox1	0.018315018315018316	0.00028280542986425336	0.021978021978021976	0.0031512605042016808	2	51	107.0	76.0	18.0	15.0
3	274	Zic5	0.07326007326007326	0.0053733031674208145	0.11355311355311355	0.048790670114199526	2	51	4.0	2.0	2.0	2.0
3	274	Ascl2	0.05860805860805861	0.003460999784529196	0.05860805860805861	0.021708683473389355	1	60	31.0	19.0	2.0	4.0
3	274	Hand1	0.021978021978021976	0.001656431803490627	0.02564102564102564	0.0392156862745098	1	60	9.0	69.0	14.0	25.0
3	274	Elf3	0.03663003663003663	0.0021816418875242405	0.040293040293040296	0.02141241111829347	1	60	32.0	41.0	9.0	16.0
3	274	Tcf15	0.010989010989010988	0.0009965524671407024	0.018315018315018316	0.004861560008618832	0	74	81.0	85.0	24.0	22.0
3	247	Sox1	0.016260162601626018	0.00024888003982080636	0.024390243902439025	0.00433051269288203	1	56	87.0	68.0	22.0	17.0
3	247	Zic5	0.08536585365853659	0.007798241247718599	0.10975609756097562	0.06431060228969636	1	56	4.0	2.0	1.0	2.0
3	247	Ascl2	0.05691056910569106	0.003401360544217687	0.05691056910569106	0.007897793263646922	0	56	69.0	16.0	2.0	4.0
3	247	Hand1	0.012195121951219513	0.000431392069022731	0.016260162601626018	0.024788451966152314	0	56	30.0	86.0	31.0	34.0
3	247	Elf3	0.02845528455284553	0.0030695204911232784	0.02845528455284553	0.01134892981582877	0	56	55.0	57.0	4.0	20.0
3	247	Tcf15	0.008130081300813009	0.0009291521486643438	0.012195121951219513	0.007200929152148664	2	52	71.0	101.0	18.0	21.0
3	232	Sox1	0.017316017316017316	3.764351590438547e-05	0.021645021645021644	0.00468661773009599	2	34	81.0	64.0	20.0	12.0
3	232	Zic5	0.05194805194805195	0.0034820252211556556	0.1038961038961039	0.06359872012045925	2	34	5.0	2.0	2.0	3.0
3	232	Ascl2	0.05194805194805195	0.002672689629211368	0.05194805194805195	0.011274233013363447	0	51	56.0	18.0	5.0	6.0
3	232	Hand1	0.012987012987012988	0.00030114812723508374	0.012987012987012988	0.001486918878223226	0	51	105.0	87.0	27.0	28.0
3	232	Elf3	0.021645021645021644	0.0021645021645021645	0.021645021645021644	0.014041031432335779	0	51	47.0	64.0	8.0	22.0
3	232	Tcf15	0.008658008658008658	0.0	0.012987012987012988	0.008563899868247694	6	9	64.0	87.0	9.0	2.0
3	211	Sox1	0.01904761904761905	0.0	0.02380952380952381	0.004078377762588289	3	31	85.0	53.0	31.0	11.0
3	211	Zic5	0.07142857142857144	0.0041239462292093874	0.10952380952380954	0.11838687628161312	1	41	4.0	2.0	2.0	2.0
3	211	Ascl2	0.05714285714285715	0.0023695602642971065	0.05714285714285715	0.018660287081339714	0	50	39.0	9.0	15.0	1.0
3	211	Hand1	0.014285714285714287	4.55684666210982e-05	0.014285714285714287	4.55684666210982e-05	0	50	115.0	78.0	35.0	27.0
3	211	Elf3	0.01904761904761905	0.002688539530644794	0.01904761904761905	0.01316928685349738	0	50	48.0	60.0	11.0	24.0
3	211	Tcf15	0.014285714285714287	0.0	0.014285714285714287	0.021941216678058782	6	12	33.0	78.0	12.0	2.0
3	189	Sox1	0.02127659574468085	0.0007111161679371942	0.026595744680851064	0.005347593582887701	0	48	60.0	32.0	16.0	13.0
3	189	Zic5	0.06914893617021277	0.007879167140744112	0.10638297872340426	0.08120946637842759	0	48	7.0	2.0	2.0	3.0
3	189	Ascl2	0.05319148936170213	0.005205370349300262	0.05319148936170213	0.02642507680054614	1	45	23.0	10.0	5.0	3.0
