treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
Ngn2n	5	0.4821052631578947	positive	120	387	2.2601834769601226	66	10.132733822998729	22.0	0.013861210705263138	0.937330157159779	-0.0012948016400262663	0.9656135757712001	
Ngn2n	5	0.5063157894736842	positive	92	288	1.937704553925648	53	5.793097315459974	15.0	-0.5057050981281634	0.13380149928676902	-0.750699486839624	0.41125362354056016	
Ngn2n	5	0.5305263157894736	positive	80	231	1.9202333096870812	42	11.597721125451798	17.0	0.006390875466586454	0.9246797744683587	0.010115384359255963	0.7719345677701057	
Ngn2n	5	0.5547368421052631	positive	64	165	1.9982842393523566	34	9.754445628379615	14.0	-0.06107008116360646	0.36279204579273217	-0.07829497555330978	0.6694322782095398	
Ngn2n	5	0.5789473684210527	positive	57	129	1.5977117880229885	30	5.059746934661716	9.0	-0.24272962115523944	0.5271418631082471	-0.2012674227954505	0.6475755747551066	
Ngn2n	5	0.6031578947368421	positive	50	100	1.2699425477847752	25	3.525901245530627	6.0	-0.7174920635713478	0.28359766396415453	-0.6642159911998391	0.44295705637349214	
Ngn2n	5	0.6273684210526316	positive	27	56	1.4705521472392638	16	3.8066094123177843	5.0	-0.16249395153926371	0.7671105211071876	-0.1521356790854097	0.6327119879643601	
Ngn2n	5	0.651578947368421	positive	27	44	0.9825367647058825	16	3.4858123902764517	4.0	-0.6282977889914698	0.17398708334943014	-0.6258690760432648	0.3546719836206571	
Ngn2n	5	0.6757894736842105	positive	25	33	inf	16	2.430045448302165	2.0	-0.9205910812798392	0.41714468779034564	-0.8694786172681952	0.28532095965143767	
Ngn2n	5	0.7	positive	24	28	0.8694835680751173	15	2.682760175218624	2.0	-0.3266066100685928	0.7420109354144959	-0.46581785028654343	0.36929514406967334	
