run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community	community_size	rank_betweenness	rank_outdegree	rank_local_betweenness	rank_local_outdegree
1	224	Esrrg	0.04035874439461883	0.002363349896982184	0.04932735426008968	0.02579485314911324	1	49	11.0	17.0	7.0	5.0
1	224	Lhx4	0.026905829596412557	0.0007271845836868258	0.03587443946188341	0.03219811739991112	2	42	5.0	36.0	7.0	5.0
1	224	Otp	0.03587443946188341	0.0028683391912091463	0.04932735426008968	0.023128509675594877	2	42	16.0	17.0	2.0	3.0
1	224	Bhlhe23	0.03587443946188341	0.0009089807296085323	0.04484304932735426	0.015250676685654264	3	29	33.0	25.0	8.0	6.0
1	189	Evx2	0.015957446808510637	0.0010524519285470474	0.015957446808510637	0.0036409147798384346	2	35	65.0	72.0	14.0	19.0
1	189	Lhx9	0.047872340425531915	0.0026737967914438505	0.047872340425531915	0.01314142678347935	1	37	41.0	17.0	7.0	2.0
1	189	Esrrg	0.03723404255319149	0.0017066788030492663	0.047872340425531915	0.04337808624416885	1	37	4.0	17.0	10.0	6.0
1	189	Lhx4	0.026595744680851064	0.001109341221982023	0.026595744680851064	0.011548526567300035	0	43	45.0	52.0	6.0	4.0
1	189	Otp	0.0425531914893617	0.0054613721697576514	0.05319148936170213	0.034503356468312665	0	43	8.0	14.0	1.0	3.0
1	189	Bhlhe23	0.031914893617021274	0.002218682443964046	0.0425531914893617	0.022897940607577653	2	35	23.0	21.0	8.0	8.0
1	153	Evx2	0.019736842105263157	0.0010892296967584525	0.019736842105263157	0.004574764726385501	2	29	64.0	58.0	12.0	8.0
1	153	Lhx9	0.05263157894736842	0.0036598117811084	0.05263157894736842	0.028319972115719762	0	39	27.0	13.0	10.0	2.0
1	153	Esrrg	0.046052631578947366	0.004966887417218543	0.046052631578947366	0.024006622516556293	0	39	33.0	18.0	6.0	5.0
1	153	Lhx4	0.03289473684210526	0.0013942140118508191	0.03289473684210526	0.01211223422795399	1	34	49.0	37.0	5.0	4.0
1	153	Otp	0.046052631578947366	0.004923318229348205	0.05921052631578947	0.05389508539560823	1	34	11.0	9.0	2.0	2.0
1	153	Bhlhe23	0.039473684210526314	0.0025270128964796097	0.05263157894736842	0.04369989543394911	3	28	15.0	13.0	5.0	2.0
1	133	Evx2	0.015151515151515152	0.00028915105250983114	0.015151515151515152	0.0008674531575294934	3	20	64.0	67.0	9.0	9.0
1	133	Lhx9	0.05303030303030303	0.0037011334721258385	0.05303030303030303	0.027758501040943788	0	30	22.0	10.0	8.0	2.0
