geneid	Ascl1_D3_GFPpos_1	Ascl1_D3_GFPpos_2	Ascl1_D3_GFPneg_1	Ascl1_D3_GFPneg_2	Ascl1_D4_GFPpos_1	Ascl1_D4_GFPpos_2	Ascl1_D4_GFPneg_1	Ascl1_D4_GFPneg_2	Ascl1_D6_GFPpos_1	Ascl1_D6_GFPpos_2	Ascl1_D6_GFPneg_1	Ascl1_D6_GFPneg_2	Ngn2_D3_GFPpos_1	Ngn2_D3_GFPpos_2	Ngn2_D3_GFPneg_1	Ngn2_D3_GFPneg_2	Ngn2_D4_GFPpos_1	Ngn2_D4_GFPpos_2	Ngn2_D4_GFPneg_1	Ngn2_D4_GFPneg_2	Ngn2_D6_GFPpos_1	Ngn2_D6_GFPpos_2	Ngn2_D6_GFPneg_1	Ngn2_D6_GFPneg_2
Erc2	81.8687711197019	71.9470252936069	3.92034310842885	12.5475094334457	240.398538124857	177.805515688567	6.44802646426377	7.10929113258117	303.462111948553	203.248468104605	13.195449681132	11.5304754902004	131.661122023972	52.9726712696903	14.7277760630564	18.6960120637939	136.706199528656	141.137415444321	7.67164588449762	9.12896761042292	202.791786992802	332.20694416328	25.7504179274034	18.5906444586635
Madd	81.1176814764019	111.828968361016	49.6576793734321	34.2204802730338	166.485681140904	159.029854053027	52.9519749034994	60.93678113641	128.694374189585	98.4765807851956	34.3081691709431	23.0609509804009	74.2134788936619	76.8749741596725	43.0747859048532	35.5992558474979	109.408289638623	119.586492726775	25.8918048601795	26.849904736538	169.394326523661	133.105237672564	54.6961431888641	43.2566629234262
Sh3pxd2b	78.1133229032018	74.4994696499211	50.5910943992485	47.4523993119402	131.346781919025	94.4415780267681	89.1000020516448	100.545688875077	155.32749996598	128.154454446487	52.7817987245278	33.7044668175089	57.6941995385943	58.1407367594162	86.4662981766538	81.1867921126391	96.6259350075762	98.4581371213376	122.746334151962	140.693500819459	188.65051994731	110.859236947344	175.55394411821	159.539321400165
Ttc3	2022.68440940695	2192.70922984618	1151.4607758471	1240.15020509475	3108.94440081028	2749.69564652489	1210.27502786817	932.332751387073	3138.04318454423	3151.7002498787	816.798335262068	902.924926848003	2794.71688790584	1794.61074130731	1360.49810922277	1447.78844104968	2655.04671192342	3001.91676442053	1024.16472558043	1199.11674553379	3715.84357471975	4087.33186658035	1857.41335736204	1554.44519320054
Six5	0.0	0.478583316808915	9.14746725300065	7.52850566006744	0.0	0.0	4.4940790508505	10.1561301894017	0.194402377929887	0.449664752443815	11.8759047130188	5.32175791855404	1.47933844970755	2.58403274486294	12.669054677898	7.93940238325493	0.0	1.26770133632624	13.4253802978708	11.8139580840767	1.20351208897806	0.0	11.0895960417285	15.7959724158579
Atp1a3	11.2663446495003	10.8478885143354	1.86683005163279	5.24714030853185	51.8601685067737	32.8574078621957	8.2065791363357	9.1405171704615	138.414493086079	102.973228309634	9.23681477679237	7.98263687783106	40.9283637752421	47.1585975937487	21.3790297689529	15.8788047665099	58.0622210359427	88.7390935428365	11.5074688267464	8.0549714209614	110.121356141492	161.654271936596	23.1189883581797	26.1241082262265
Fam117b	91.6329364826021	50.4107760372057	38.8300650739619	34.6767533433409	111.232791329949	91.625228781437	46.113158956553	57.8899420795895	164.658814106614	176.718247710419	67.296793373773	62.9741353695562	55.2286354557484	71.0609004837309	33.8897212633771	40.9775606877674	90.1264326528065	82.4005868612053	63.2910785471053	51.551817094153	136.297744076765	163.878872009118	56.9516542481987	82.139056562461
Wdr43	224.575803346705	213.607687069046	351.33741571729	374.37205418699	155.580505520321	115.094805825863	347.021060622195	359.527008704819	125.195131386847	115.563841378061	538.374346990184	507.340921568819	190.588103603989	204.138586844172	359.167700118408	408.238948351883	117.640992621332	146.630787901735	401.802453200563	332.40182063834	156.757449589392	215.415440355877	276.488064023433	291.860967253005
Ccdc8	23.2837789423005	22.493415890019	38.8300650739619	57.4904068586968	8.23946602444068	9.763344050481	38.2973693029	67.030459250051	2.52723091308853	10.3422893062078	39.5863490433959	27.4957492458626	14.7933844970755	18.7342374002563	34.0480844468509	40.2092314248717	8.23270298270829	4.22567112108745	33.5634507446771	24.1649142628842	1.50439011122257	2.22460007252196	17.6681699647877	20.7777791008592
Nbl1	63.0915300372015	33.6603599488937	52.8312904612078	69.5816432218354	7.75479155241476	6.57148157243913	50.4118432660622	117.811110197059	13.9969712109519	4.94631227688197	75.2140631824522	74.5046108597566	5.17768457397642	1.93802455864721	1.74199501821097	2.30498778868692	0.866600313969294	1.69026844843498	0.958955735562202	1.61099428419228	2.40702417795611	0.0	7.70632945272656	16.1604948562238
