Gene stable ID,Gene name,NCBI gene (formerly Entrezgene) ID
ENSMUSG00000055341,Zfp457,431706
ENSMUSG00000022972,Cfap298,68001
ENSMUSG00000076455,Mir767,100316827
ENSMUSG00000077847,Mir105,100124463
ENSMUSG00000073247,Gm10486,100039550
ENSMUSG00000057842,Zfp595,218314
ENSMUSG00000091987,Rbmyf3,100042881
ENSMUSG00000021366,Hivep1,110521
ENSMUSG00000121285,Gm28840,102632557
ENSMUSG00000009575,Cbx5,12419
ENSMUSG00000022790,Igsf11,207683
ENSMUSG00000073245,Gm14819,100039585
ENSMUSG00000021367,Edn1,13614
ENSMUSG00000079105,C7,109828
ENSMUSG00000118928,Gm25547,115488724
ENSMUSG00000068617,Clxn,66793
ENSMUSG00000069307,H2bc23,665596
ENSMUSG00000065714,Gm25652,115488595
ENSMUSG00000041849,Card6,239319
ENSMUSG00000042514,Klhl14,225266
ENSMUSG00000024853,Sf3b2,319322
ENSMUSG00000094248,H2ac23,665433
ENSMUSG00000041841,Rpl37,67281
ENSMUSG00000041841,Rpl37,100502825
ENSMUSG00000069306,H4c17,100041230
ENSMUSG00000031290,Lrch2,210297
ENSMUSG00000069305,H4c18,319161
ENSMUSG00000024600,Slc27a6,225579
ENSMUSG00000094777,H2ac24,319171
ENSMUSG00000069303,H2bc24,665622
ENSMUSG00000050697,Prkaa1,105787
ENSMUSG00000088148,Mir1983,100316716
ENSMUSG00000077243,Gm23270,115486048
ENSMUSG00000024601,Isoc1,66307
ENSMUSG00000021662,Arhgef28,110596
ENSMUSG00000022973,Synj1,104015
ENSMUSG00000053441,Adamts19,240322
ENSMUSG00000022463,Srebf2,20788
ENSMUSG00000100559,Gm20803,108168596
ENSMUSG00000047658,Gal3st3,545276
ENSMUSG00000024306,Ccdc178,70950
ENSMUSG00000038498,Catsper1,225865
ENSMUSG00000121332,Orly,75204
ENSMUSG00000024846,Cst6,73720
ENSMUSG00000025081,Tdrd1,83561
ENSMUSG00000031226,Pbdc1,67683
ENSMUSG00000022369,Mtbp,105837
ENSMUSG00000095365,Rbm31y,74484
ENSMUSG00000095365,Rbm31y,100861987
ENSMUSG00000102739,Gm20772,665276
ENSMUSG00000102739,Gm20772,100039014
ENSMUSG00000094325,Gm20831,100039014
ENSMUSG00000094325,Gm20831,100040223
ENSMUSG00000031227,Magee1,107528
ENSMUSG00000065499,Mir384,723861
ENSMUSG00000065425,Mir325,723929
ENSMUSG00000095267,Ssty1,20611
ENSMUSG00000095267,Ssty1,100042337
ENSMUSG00000050875,Minar2,225583
ENSMUSG00000031230,Fgf16,80903
ENSMUSG00000094885,Ott,18422
ENSMUSG00000022674,Ube2v2,70620
ENSMUSG00000095520,Gm20877,100041550
ENSMUSG00000094135,Gm21379,100861987
ENSMUSG00000104267,Gm20807,100039595
ENSMUSG00000104267,Gm20807,100040262
ENSMUSG00000058152,Chsy3,78923
ENSMUSG00000103468,Gm21440,100039014
ENSMUSG00000103468,Gm21440,100862059
ENSMUSG00000037957,Wdr20,69641
ENSMUSG00000093903,Gm21454,100042337
ENSMUSG00000093903,Gm21454,100862075
ENSMUSG00000022673,Mcm4,17217
ENSMUSG00000098287,Mir6355,102465182
ENSMUSG00000073555,Iigp1c,240327
ENSMUSG00000031229,Atrx,22589
ENSMUSG00000020591,Ntsr2,18217
ENSMUSG00000068606,Gm4841,225594
ENSMUSG00000041923,Nol4,319211
ENSMUSG00000021244,Ylpm1,56531
ENSMUSG00000022974,Paxbp1,67367
ENSMUSG00000006720,Zfp184,193452
ENSMUSG00000065465,Mir33,723897
ENSMUSG00000101005,Gm20871,100041346
ENSMUSG00000096883,Shisa8,435145
ENSMUSG00000060429,Sntb1,20649
ENSMUSG00000016982,Pom121l2,195236
ENSMUSG00000006179,Prss16,54373
ENSMUSG00000077680,Gm22495,115486052
ENSMUSG00000024604,Rbm22,66810
ENSMUSG00000101100,Gm28326,102635519
ENSMUSG00000022151,Ttc33,67515
ENSMUSG00000101155,Sly,382301
ENSMUSG00000101155,Sly,100861691
ENSMUSG00000056458,Mok,26448
ENSMUSG00000043145,Gm11292,193453
ENSMUSG00000069302,H2ac12,319168
ENSMUSG00000062727,H2bc12,319184
ENSMUSG00000060639,H4c9,319158
ENSMUSG00000024302,Dtna,13527
ENSMUSG00000069301,H2ac11,319167
ENSMUSG00000069300,H2bc11,319183
ENSMUSG00000096122,Gm21943,434935
ENSMUSG00000096122,Gm21943,108168625
ENSMUSG00000096122,Gm21943,108168634
ENSMUSG00000096122,Gm21943,108168635
ENSMUSG00000096122,Gm21943,108168659
ENSMUSG00000096122,Gm21943,108168661
ENSMUSG00000096122,Gm21943,108168663
ENSMUSG00000096122,Gm21943,108168664
ENSMUSG00000022367,Has2,15117
ENSMUSG00000069299,Vmn1r188,252912
ENSMUSG00000099611,Vmn1r189,252906
ENSMUSG00000046434,Hnrnpa1,15382
ENSMUSG00000042320,Prox2,73422
ENSMUSG00000094052,Gm21118,100861667
ENSMUSG00000094052,Gm21118,118567358
ENSMUSG00000104442,4932431L22Rik,619557
ENSMUSG00000095916,Vmn1r191,632534
ENSMUSG00000039851,Epcip,74387
ENSMUSG00000099787,Vmn1r192,252907
ENSMUSG00000046932,Vmn1r193,171259
ENSMUSG00000024844,Banf1,23825
ENSMUSG00000021271,Zfp839,72805
ENSMUSG00000022708,Zbtb20,56490
ENSMUSG00000069297,Vmn1r194,626299
ENSMUSG00000069296,Vmn1r195,171257
ENSMUSG00000069295,Vmn1r196,100312484
ENSMUSG00000024841,Eif1ad,69860
ENSMUSG00000054728,Phactr1,218194
ENSMUSG00000095508,Gm20812,108168614
ENSMUSG00000112449,Srp54b,665155
ENSMUSG00000095606,Gm21258,100861839
ENSMUSG00000025082,Vwa2,240675
ENSMUSG00000094570,Gm20931,100042594
ENSMUSG00000095867,Gm20917,100042428
ENSMUSG00000095867,Gm20917,108168609
ENSMUSG00000084678,Gm26020,115489260
ENSMUSG00000084575,Gm23656,115489188
ENSMUSG00000041353,Vcf2,382245
ENSMUSG00000094746,Gm20916,100042417
ENSMUSG00000094746,Gm20916,100861691
ENSMUSG00000095793,Gm20855,100861691
ENSMUSG00000095793,Gm20855,108168545
ENSMUSG00000039942,Ptger4,19219
ENSMUSG00000096650,Gm20896,108168555
ENSMUSG00000031232,Magt1,67075
ENSMUSG00000115172,Gm2582,100040067
ENSMUSG00000119342,Gm26178,115488582
ENSMUSG00000094103,Fam177a2,100101807
ENSMUSG00000039148,Sart1,20227
ENSMUSG00000118903,Gm23139,115485980
ENSMUSG00000022366,Slc22a22,210463
ENSMUSG00000094660,Gm21394,108168579
ENSMUSG00000021276,Cinp,67236
ENSMUSG00000099840,Gm21409,100862025
ENSMUSG00000058794,Nfe2,18022
ENSMUSG00000100485,Gm20920,100861691
ENSMUSG00000100485,Gm20920,108168558
ENSMUSG00000039330,Tsga10ip,78306
ENSMUSG00000101158,Gm20894,100861691
ENSMUSG00000101158,Gm20894,108168547
ENSMUSG00000024914,Drap1,66556
ENSMUSG00000004789,Dlst,78920
ENSMUSG00000101286,Gm21317,100861691
ENSMUSG00000101286,Gm21317,100861906
