geneid	Ascl1_ESC_1	Ascl1_ESC_2	Ascl1_D2_1	Ascl1_D2_2	Ascl1_D3_GFPpos_1	Ascl1_D3_GFPpos_2	Ascl1_D3_GFPneg_1	Ascl1_D3_GFPneg_2	Ascl1_D4_GFPpos_1	Ascl1_D4_GFPpos_2	Ascl1_D4_GFPneg_1	Ascl1_D4_GFPneg_2	Ascl1_D6_GFPpos_1	Ascl1_D6_GFPpos_2	Ascl1_D6_GFPneg_1	Ascl1_D6_GFPneg_2	Ngn2_ESC_1	Ngn2_ESC_2	Ngn2_D2_combi_1	Ngn2_D2_combi_2	Ngn2_D3_GFPpos_1	Ngn2_D3_GFPpos_2	Ngn2_D3_GFPneg_1	Ngn2_D3_GFPneg_2	Ngn2_D4_GFPpos_1	Ngn2_D4_GFPpos_2	Ngn2_D4_GFPneg_1	Ngn2_D4_GFPneg_2	Ngn2_D6_GFPpos_1	Ngn2_D6_GFPpos_2	Ngn2_D6_GFPneg_1	Ngn2_D6_GFPneg_2
Tfap2b	0.0	0.0	90.027760904085	100.906278803395	514.496405660512	438.701373741505	312.320667638165	252.775280950143	535.807628824657	633.303066966777	301.298691148325	234.606607375179	532.27371077203	607.497080551595	236.198549292262	184.487607843207	1.03168325054505	0.246809463217801	3.86937422545339	10.4190133564805	3.69834612426887	7.10609004837309	3.00890048600077	2.81720729728401	7.58275274723132	6.33850668163118	4.79477867781101	3.22198856838456	24.6719978240501	18.1675672589294	114.84310477112	112.151404152591
Eya1	3.6807625558479	6.542601495377	7.03341882063164	12.5724651583518	410.84603488511	173.725744001636	28.3758167848183	27.8326572887342	223.192594367937	186.066806808205	28.3322374944923	72.1085243447519	85.5370462891502	106.12088157674	26.3908993622639	27.4957492458626	5.02945584640712	2.46809463217801	15.9074273713084	12.9658832880646	59.1735379883019	49.7426303386116	23.4377511541113	25.3548656755561	30.5476610674176	25.7765938386335	23.0149376534929	13.424952368269	8.42458462284639	10.7522336838562	10.9016367867839	16.2820023363458
Klf7	54.5979779117439	96.8305021315796	510.391759083836	426.647421542511	796.906111541319	998.643854407936	592.531858388246	688.059790023133	757.303862540504	1047.86967587951	583.057908162518	454.994632485195	962.29177075294	543.195020952129	254.672178845847	204.000720211238	39.9777259586207	52.8172251286093	306.970355219302	315.69610470136	1167.44459322754	770.041757969157	550.945515305089	480.97411857267	1117.04780470642	1103.32272971593	163.981430781137	263.666064512803	997.109765718319	621.034186912381	359.754013963869	247.024707087993
Eef1b2	2731.12581643914	2609.18947635635	2249.52178613202	2351.37754214837	866.00635872492	1116.05629479839	2150.40153647581	2156.34653027144	642.678349906373	591.808854752233	1875.98491161807	2038.33532901292	435.850131318806	407.396265714097	1588.73214160829	1422.68328356011	2671.54377728641	2691.70400585333	2311.5211692389	2335.71126089279	746.326247877457	1150.54057965023	2113.67340982381	2074.23290006393	590.804764048566	544.689007508172	2083.81081337667	1919.76818866247	524.129514749943	510.916483322544	1425.29503024452	1319.69274160487
Slc40a1	4.90768340779721	3.9255608972262	7.03341882063164	4.73508428041822	0.751089643300017	1.27622217815711	8.77410124267409	6.38782298429964	0.0	0.0	11.7236844804796	11.1717432083418	0.58320713378966	0.449664752443815	14.5149946492452	15.9652737556621	0.515841625272526	2.22128516896021	0.0	0.231533630144012	0.0	0.0	0.791815917368625	1.02443901719418	1.29990047095394	1.26770133632624	1.9179114711244	0.53699809473076	2.40702417795611	0.741533357507321	0.0	3.7667318837815
Nop58	593.829692343462	605.84489847191	476.865796038825	442.648740834959	237.344327282806	246.78946370113	412.942807421172	408.136261389717	163.335297072736	187.193346506338	383.950666735706	432.651146068511	136.276066928851	163.228305137105	389.265765593393	324.627233031797	582.901036557954	595.674639476162	538.917843511758	511.805089433338	191.574329237127	185.404349443916	375.320744832728	407.726728843285	129.556746938409	129.728103417385	474.68308910329	437.116449110839	181.128569391197	160.912738579089	364.828913847372	338.398332139725
Zap70	7.97498553767046	7.8511217944524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34899425733145	2.63908993622639	4.4347982654617	5.28737665904339	6.91066497009842	0.21496523474741	0.347300445216017	0.0	0.0	0.0	0.0	0.0	0.0	0.958955735562202	1.07399618946152	0.0	0.37076667875366	0.0	0.607537400609919
Tmem163	0.0	0.0	6.33007693856848	1.46950891461255	19.5283307258005	19.6219159891655	4.10702611359213	5.01900377337829	24.2337236012961	43.7472916108091	5.08026327487448	2.03122603788033	38.8804755859774	18.8859196026403	9.23681477679237	13.3043947963851	0.0	0.246809463217801	0.429930469494821	0.347300445216017	27.121204911305	18.0882292140406	5.38434823810665	5.12219508597092	42.89671554148	34.2279360808084	4.79477867781101	9.66596570515368	52.6536538927899	21.875234046466	35.3363399295754	27.3391830274464
Dbi	659.469957922749	686.973157014585	967.798429718914	1295.78030515169	351.509953064408	292.254878797977	752.145827802849	754.903794823126	195.56614946246	183.250457562874	663.951331077827	1011.55056686441	119.168657671021	196.503496817947	1163.83866187584	1321.56988310759	438.852262700601	490.780617608596	789.782272461986	665.659186664033	168.64458326666	355.95051060487	482.374256860966	472.266386926519	118.724243013793	122.544462511536	724.970536085025	504.241210952184	111.625746252715	123.094537346215	383.436880086882	684.451635527135
Nucks1	744.127496707251	913.347168754629	1441.61641093547	1590.00864561078	730.810222930917	860.652331394699	1362.9726206971	1225.54946684492	711.98679940608	721.360920037461	1016.44344445758	814.521641190014	575.625441050395	592.658143720949	899.9296682532	1002.26440799434	1439.06917410403	1452.10347684193	1310.85800148971	1718.32683611378	648.443353788475	660.866374498698	1328.82547252803	1628.34581783016	674.864994503587	642.302010405293	1389.52686082963	1549.77650139297	770.247736945956	967.701031547054	1214.21678694179	985.911693709777
Nfasc	15.9499710753409	18.3192841870556	101.281231017096	128.990226949324	277.152078377706	252.532463502837	128.251224547172	130.037825037528	176.421507817436	191.136235449801	116.846055322113	99.5300758561364	176.322956782407	178.067241967751	68.6163383418862	90.4698846154187	6.5769807222247	5.42980819079161	32.6747156816064	51.7477663371866	263.322244047943	169.900152974738	93.1175518825503	77.857365306758	154.254855886534	207.903019157503	37.3992736869259	50.4778209046914	142.315304521655	163.137338651611	151.871077995197	128.068884048571
Atp2b4	8.58844596364511	15.7022435889048	119.568119950738	110.539726132522	141.204852940403	231.793853107784	62.352123724535	77.56642195221	122.380304186545	119.037694769326	80.6980281739678	49.7650379280682	123.251107607548	62.5034005896904	55.4208886607542	58.5393371040945	12.6381198191769	16.2894245723748	11.3931574416128	3.35723763708817	35.0110099764119	22.6102865175508	21.6957561359003	13.5738169778229	125.440395447055	139.447146995886	16.3022475045574	12.8879542735382	144.722328699611	136.071371102593	47.9296100108603	30.4983775106179
Vangl2	94.4729056000962	103.373103626957	127.773775241475	120.82628853481	343.999056631408	225.09368667246	183.32271107034	193.459781810218	345.33056131847	373.635666547253	239.163163401783	264.059384924443	550.547534297439	654.711879558195	266.548083558866	228.835590497824	92.7225321427365	87.3705499791014	149.40083814945	152.696429079976	195.026118953112	279.075536445198	363.285142888725	383.908521693521	390.403441443167	338.898823911214	502.492805434594	498.871230004876	549.403268618482	507.579583213761	768.75335272321	975.219035459042
